movie,director,m_year,critic,crit_org,crit_cn
Mulholland Drive,David Lynch,2001,Simon Abrams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,Simon Abrams,Freelance film critic,US
The Tree of Life,Terrence Malick,2011,Simon Abrams,Freelance film critic,US
Yi Yi: A One and a Two,Edward Yang,2000,Simon Abrams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,Sam Adams,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Sam Adams,Freelance film critic,US
Spirited Away,Hayao Miyazaki,2001,Sam Adams,Freelance film critic,US
The Grand Budapest Hotel,Wes Anderson,2014,Sam Adams,Freelance film critic,US
The New World,Terrence Malick,2004,Sam Adams,Freelance film critic,US
The Grand Budapest Hotel,Wes Anderson,2014,Thelma Adams,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Thelma Adams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,Arturo Aguilar,Rolling Stone Mexico,Mexico
Mulholland Drive,David Lynch,2001,Arturo Aguilar,Rolling Stone Mexico,Mexico
Inception,Christopher Nolan,2010,Arturo Aguilar,Rolling Stone Mexico,Mexico
Pan's Labyrinth,Guillermo Del Toro,2006,Arturo Aguilar,Rolling Stone Mexico,Mexico
Caché,Michael Haneke,2005,Arturo Aguilar,Rolling Stone Mexico,Mexico
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Arturo Aguilar,Rolling Stone Mexico,Mexico
Holy Motors,Leos Carax,2012,Arturo Aguilar,Rolling Stone Mexico,Mexico
There Will Be Blood,Paul Thomas Anderson,2007,Arturo Aguilar,Rolling Stone Mexico,Mexico
The Piano Teacher,Michael Haneke,2001,Matthew Anderson,BBC Culture,UK
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Matthew Anderson,BBC Culture,UK
Caché,Michael Haneke,2005,Matthew Anderson,BBC Culture,UK
Mulholland Drive,David Lynch,2001,Matthew Anderson,BBC Culture,UK
Boyhood,Richard Linklater,2014,Matthew Anderson,BBC Culture,UK
No Country For Old Men,Joel and Ethan Coen,2007,Tim Appelo,The Wrap,US
Spirited Away,Hayao Miyazaki,2001,Tim Appelo,The Wrap,US
A Separation,Asghar Farhadi,2011,Tim Appelo,The Wrap,US
Pan's Labyrinth,Guillermo Del Toro,2006,Tim Appelo,The Wrap,US
Mulholland Drive,David Lynch,2001,Michael Arbeiter,Nerdist,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Arbeiter,Nerdist,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Michael Arbeiter,Nerdist,US
The Master,Paul Thomas Anderson,2012,Ali Arikan,Dipnot TV,Turkey
Mulholland Drive,David Lynch,2001,Ali Arikan,Dipnot TV,Turkey
Zodiac,David Fincher,2007,Ali Arikan,Dipnot TV,Turkey
A Serious Man,Joel and Ethan Coen,2009,Ali Arikan,Dipnot TV,Turkey
In the Mood for Love,Wong Kar-wai,2000,Ali Arikan,Dipnot TV,Turkey
2046,Wong Kar-wai,2004,Michael Atkinson,The Village Voice,US
Caché,Michael Haneke,2005,Michael Atkinson,The Village Voice,US
Inland Empire,David Lynch,2006,Michael Atkinson,The Village Voice,US
Mulholland Drive,David Lynch,2001,Michael Atkinson,The Village Voice,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Atkinson,The Village Voice,US
There Will Be Blood,Paul Thomas Anderson,2007,Ana Maria Bahiana,Freelance film critic,Brazil
Mulholland Drive,David Lynch,2001,Ana Maria Bahiana,Freelance film critic,Brazil
Children of Men,Alfonso Cuarón,2006,Ana Maria Bahiana,Freelance film critic,Brazil
Pan's Labyrinth,Guillermo Del Toro,2006,Ana Maria Bahiana,Freelance film critic,Brazil
Inception,Christopher Nolan,2010,Ana Maria Bahiana,Freelance film critic,Brazil
No Country For Old Men,Joel and Ethan Coen,2007,Ana Maria Bahiana,Freelance film critic,Brazil
In the Mood for Love,Wong Kar-wai,2000,Cameron Bailey,Toronto Film Festival,Canada
Spirited Away,Hayao Miyazaki,2001,Cameron Bailey,Toronto Film Festival,Canada
The White Ribbon,Michael Haneke,2009,Cameron Bailey,Toronto Film Festival,Canada
The Royal Tenenbaums,Wes Anderson,2001,Lindsay Baker,BBC Culture,UK
Moonrise Kingdom,Wes Anderson,2012,Lindsay Baker,BBC Culture,UK
Spirited Away,Hayao Miyazaki,2001,Lindsay Baker,BBC Culture,UK
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Lindsay Baker,BBC Culture,UK
Inherent Vice,Paul Thomas Anderson,2014,Miriam Bale,Freelance film critic,US
Holy Motors,Leos Carax,2012,Miriam Bale,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Miriam Bale,Freelance film critic,US
Boyhood,Richard Linklater,2014,Nicholas Barber,BBC Culture,UK
Children of Men,Alfonso Cuarón,2006,Nicholas Barber,BBC Culture,UK
The Social Network,David Fincher,2010,Nicholas Barber,BBC Culture,UK
A Separation,Asghar Farhadi,2011,Nicholas Barber,BBC Culture,UK
In the Mood for Love,Wong Kar-wai,2000,Diego Batlle,La Nacion,Argentina
Spirited Away,Hayao Miyazaki,2001,Diego Batlle,La Nacion,Argentina
Boyhood,Richard Linklater,2014,Diego Batlle,La Nacion,Argentina
Mulholland Drive,David Lynch,2001,Diego Batlle,La Nacion,Argentina
The Social Network,David Fincher,2010,Diego Batlle,La Nacion,Argentina
Mulholland Drive,David Lynch,2001,NT Binh,Positif,France
In the Mood for Love,Wong Kar-wai,2000,NT Binh,Positif,France
The New World,Terrence Malick,2005,NT Binh,Positif,France
A Separation,Asghar Farhadi,2011,Lizelle Bisschoff,University of Glasgow,UK
In the Mood for Love,Wong Kar-wai,2000,Lizelle Bisschoff,University of Glasgow,UK
The Curious Case of Benjamin Button,David Fincher,2008,Christian Blauvelt,BBC Culture,US
A Serious Man,Joel and Ethan Coen,2009,Christian Blauvelt,BBC Culture,US
Children of Men,Alfonso Cuarón,2006,Andreas Borcholte,Spiegel Online,Germany
No Country For Old Men,Joel and Ethan Coen,2007,Andreas Borcholte,Spiegel Online,Germany
The Tree of Life,Terrence Malick,2011,Andreas Borcholte,Spiegel Online,Germany
Inception,Christopher Nolan,2010,Andreas Borcholte,Spiegel Online,Germany
Amour,Michael Haneke,2012,Utpal Borpujari,Freelance film critic,India
